診療項目代碼,診療項目中文,診療項目英文,支付點數,生效起日,生效訖日,品項類別,給付說明,適應症
75820B,腹腔鏡腹腔探查術,Exploratory Laparoscopic Surgery,19580,110.11.01,999.12.31,手術費,如即時手術，按各該手術項目支付點數申報。,
75821B,腹腔鏡腹腔內良性腫瘤切除術,"Laparoscopic excision of intraabdominal tumor, benign",23475,110.11.01,999.12.31,手術費,,
75822B,腹腔鏡後腹腔良性腫瘤切除術,"Laparoscopic excision of retroperitoneal tumor, benign",29608,110.11.01,999.12.31,手術費,,
75823B,腹腔鏡腹腔內異物卻除術,Laparoscopic removal of intraabdominal foreign body,15679,110.11.01,999.12.31,手術費,,
75824B,腹腔鏡後腹腔探查術,Laparoscopic retroperitoneal exploration,15781,110.11.01,999.12.31,手術費,,
75825B,腹腔鏡腹腔內惡性腫瘤切除術,"Laparoscopic excision of intraabdominal tumor, malignant",27012,110.11.01,999.12.31,手術費,,
75826B,腹腔鏡後腹腔惡性腫瘤切除術併後腹腔淋巴腺摘除術,"Laparoscopic excision of retroperitoneal tumor,malignant with retroperitoneal lymphadenectomy",35074,110.11.01,999.12.31,手術費,,
76001B,腎周圍或腎臟腫瘤之引流術,Drainage abscess perirenal or renal,5946,093.07.01,999.12.31,手術費,,
76002B,腎盂切開探查引流或切除,Pyelotomy with exploration drainage or pyelolithotomy,16584,109.01.01,999.12.31,手術費,,
76003B,腎臟切片手術,Open renal biopsy,7572,109.01.01,999.12.31,手術費,,
76004B,腎切除術,Nephrectomy,10198,093.07.01,999.12.31,手術費,受腎者腎切除術比照申報。,
76005B,腎部份切除術,Partial nephrectomy,14240,090.06.01,999.12.31,手術費,腎半切除術 heminephrectomy 比照申報,
76006B,腎囊切除術，單側,"Decapsulation cyst kidney, unilateral",5880,084.03.01,999.12.31,手術費,,
76007B,根治性腎切除術併行淋巴清掃術或合併局部淋巴切除術,"Radical nephrectomy with lymphadectomy,or with regional LND",25780,106.10.01,999.12.31,手術費,,
76008B,腎袋狀成形術,Radical nephrectomy,7080,084.03.01,999.12.31,手術費,,
76009C,腎臟固定術：固定式懸掛,Nephropexy fixation or suspension,6828,112.10.01,999.12.31,手術費,,
76010C,腎臟造廔術（手術）,"Nephrostomy, operative",6340,112.10.01,999.12.31,手術費,,
76011B,腎內取石及腎盂取石術,Nephro-pyelolithotomy,10757,109.01.01,999.12.31,手術費,,
76012B,腎鹿角石取石術,Stag-horn stone nephro-pyelolithotomy,15060,109.01.01,999.12.31,手術費,,
76013B,腎縫合術,NEPHRORRHAPHY,14580,109.01.01,999.12.31,手術費,,
76014B,腎盂成形術,PYELOPLASTY,14407,110.07.01,999.12.31,手術費,,
76015B,腎盂造廔術,Pyelostomy,6440,084.03.01,999.12.31,手術費,,
76016B,經皮腎結石取石術,Percutaneous nephrostolithotomy (PCNSL),13550,093.07.01,999.12.31,手術費,1.超音波桿、取石網等費用包含於一般材料費內2.限泌尿科專科醫師施行。,
76017B,經PCN腎臟鏡術,Nephroscope (including secondary surgical operation of PCNSL),7332,093.07.01,999.12.31,手術費,1.第二次PCNSL比照申報2.限泌尿科專科醫師施行。,
76018B,屍體捐腎切除術,Nephrectomy from cadaver donor,39985,109.01.01,999.12.31,手術費,,
76019B,活體捐腎切除術,Nephrectomy from living donor,43138,109.01.01,999.12.31,手術費,,
76020B,腎臟移植,Renal implantation,212256,111.06.01,999.12.31,手術費,一般材料費及器官保存液費用，得另加計百分之八十一。,
76021B,腹腔鏡腎切除術 ,Laparoscopic nephrectomy,11530,092.12.01,999.12.31,手術費,,
76022B,腎血管肌脂肪瘤摘除術 ,Enucleation of renal hematoma,17088,109.01.01,999.12.31,手術費,,
76023B,萎縮性腎結石截除術,Anatrophic nephrolithotomy,16980,109.01.01,999.12.31,手術費,,
76024B,內視鏡腎盂切開術 ,Endoscopic pyelotomy,6440,092.12.01,999.12.31,手術費,,
76025B,腎輸尿管切除術，不包括輸尿管膀胱袖口切除術,Nephroureterectomy without bladder cuff excision,15179,093.07.01,999.12.31,手術費,,
76026B,腎輸尿管切除術，包括輸尿管膀胱袖口切除術,Nephroureterectomy with bladder cuff excision,18826,093.07.01,999.12.31,手術費,,
76027B,根治性腎切除術,Radical nephrectomy,25486,106.10.01,999.12.31,手術費,,
76028B,根治性腎切除術合併下腔靜脈瘤栓切除術,"Radical nephrectomy without regional LND,with IVC tumor thrombectomy",34078,106.10.01,999.12.31,手術費,有（無）併局部淋巴切除術之手術費用一致。,
76029B,(後)腹腔鏡腎臟囊腫除頂術,"(Retroperitoneoscopy) Laparoscopy, Renal cyst unroofing",7056,096.01.01,999.12.31,手術費,,
76030B,(後)腹腔鏡腎臟輸尿管切除術,"(Retroperitoneoscopy) Laparoscopy, Nephroureterectomy",35790,106.10.01,999.12.31,手術費,,
76031B,(後)腹腔鏡部分腎臟切除術,"(Retroperitoneoscopy) Laparoscopy, Partial nephrectomy",34176,113.03.01,999.12.31,手術費,"1.腎半切除術heminephrectomy 比照申報。
2.執行「機械手臂輔助部分腎切除」，其手術費按保險人規範之未列項申報方式辦理，比照本項申報，並應於申報費用後二個月內上傳手術相關資訊，未上傳者本項不予支付；惟因特殊情形未在規定期限內完成上傳，可檢具理由後補登錄。
3.執行機械手臂輔助手術者，須符合下列專科別及執行醫師訓練規範：
(1)具有泌尿科專科醫師資格。
(2)具機械手臂輔助手術系統訓練資格醫師認證(包括系統練習或操作達二十小時)。
(3)前述核發認證單位應檢附認證計畫書(須檢附訓練",
76032B,(後)腹腔鏡腎盂取石術,"(Retroperitoneoscopy) Laparoscopy, Pyelolithotomy",10757,096.01.01,999.12.31,手術費,,
76033B,(後)腹腔鏡腎盂成形術,"(Retroperitoneoscopy) Laparoscopy, Pyeloplasty",17885,109.01.01,999.12.31,手術費,,
76034C,(後)腹腔鏡腎臟固定術,"(Retroperitoneoscopy) Laparoscopy, Nephropexy",8194,112.10.01,999.12.31,手術費,,
76035B,腹腔鏡腎盂成形術,Laparoscopic pyeloplasty,19375,110.11.01,999.12.31,手術費,,
76036B,腹腔鏡活體捐腎切除術,Laparoscopic nephrectomy from living donor,69021,110.11.01,999.12.31,手術費,,
76037B,腹腔鏡根治性腎切除術,Laparoscopic radical nephrectomy,46385,110.11.01,999.12.31,手術費,,
77001B,輸尿管除（取）石術－ 上或下三分之一 輸尿管,Ureterolithotomy,7944,108.03.01,999.12.31,手術費,,
77002B,輸尿管除（取）石術－ 中三分之一 輸尿管,Ureterolithotomy,6736,108.03.01,999.12.31,手術費,,
77003B,輸尿管切除術，包括膀胱袖口,"Ureterectomy, with bladder cuff",10069,093.07.01,999.12.31,手術費,,
77004B,輸尿管成形術－ 單側,Ureteroplasty-- unilateral,8586,109.01.01,999.12.31,手術費,,
77005B,輸尿管成形術－ 雙側 ,Ureteroplasty--bilateral,10572,109.01.01,999.12.31,手術費,,
77006B,輸尿管剝離術  － 單側,Ureterolysis-unilateral,8496,109.01.01,999.12.31,手術費,,
77007B,輸尿管剝離術  － 雙側,Ureterolysis-bilateral,10344,109.01.01,999.12.31,手術費,,
77008B,輸尿管腎盂造口吻合術或重建術,Ureteropyelostomy or ureteropyeloplasty,12020,090.06.01,999.12.31,手術費,,
77009B,輸尿管和輸尿管吻合術,Ureteroureterostomy,12040,090.06.01,999.12.31,手術費,,
77010B,輸尿管及對側輸尿管吻合術,Transureteroureterostomy,15720,109.01.01,999.12.31,手術費,,
77011B,輸尿管膀胱重建術 － 單側,Ureteroneocystomy-unilateral,14082,110.07.01,999.12.31,手術費,,
77012B,輸尿管膀胱重建術 － 雙側,Ureteroneocystomy- bilateral,16310,110.07.01,999.12.31,手術費,,
77013B,輸尿管小腸吻合術 － 單側,unilateral,9600,109.01.01,999.12.31,手術費,,
77014B,輸尿管小腸吻合術－ 雙側 ,bilateral,11333,109.01.01,999.12.31,手術費,,
77015B,輸尿管乙狀結腸造口吻合術,Ureterosigmoidostomy,10800,084.03.01,999.12.31,手術費,,
77016B,以腸管取代全部或部分輸尿管，包括腸管吻合術－ 單側,Replacement ureter of all or part of ureterby bowel segment-unilateral,12960,109.01.01,999.12.31,手術費,,
77017B,以腸管取代全部或部分輸尿管，包括腸管吻合術－ 雙側,Replacement ureter of all or part of ureterby bowel segment-bilateral,17040,109.01.01,999.12.31,手術費,,
77018B,輸尿管皮膚吻合術－ 單側 ,"Ureterostomy, unilateral, transplantation of ureter to skin-unilateral",8231,109.01.01,999.12.31,手術費,,
77019B,輸尿管皮膚吻合術－ 雙側 ,"Ureterostomy, unilateral, transplantation of ureter to skin-bilateral",10148,109.01.01,999.12.31,手術費,,
77020B,表皮輸尿管廔管閉合術,"Closure fistula, ureterocutaneous",8496,109.01.01,999.12.31,手術費,,
77021B,輸尿管膀胱廔管閉合術,"Closuer fistula, ureterovisceral",10344,109.01.01,999.12.31,手術費,,
77022B,輸尿管迴腸皮膚吻合術,Uretero-ileal cutaneous diversion(ilelal conduit),13675,109.01.01,999.12.31,手術費,,
77023C,輸尿管插管術,Ureter catheterization,2506,112.10.01,999.12.31,手術費,手術中插管不另支付。,
77024B,輸尿管狹窄內擴張術,Internal dilatation of ureteral stricture,2904,093.07.01,999.12.31,手術費,輸尿管鏡另計。,
77026B,輸尿管鏡取石術及碎石術－ 單純內視鏡操作方式,Ureteroscopy & removal of ureteral stone--simple endoscopic,5537,093.07.01,999.12.31,手術費,含鏡檢費用在內。,
77027B,輸尿管鏡取石術及碎石術－ 併用超音波或電擊方式,Ureteroscopy & removal of ureteral stone--with SONO/EHL,9259,093.07.01,999.12.31,手術費,含鏡檢費及超音波費用在內。,
77028B,輸尿管鏡取石術及碎石術 － 併用雷射治療方式,Ureteroscopy & removal of ureteral stone,7446,111.03.01,999.12.31,手術費,1.含鏡檢費用在內。2.77028B含一般材料費及雷射光纖，得另加計百分之九十一。,
77029B,腹式會陰尿道懸吊術,Abdominal perineal urethral suspension (APUS),11680,084.03.01,999.12.31,手術費,,
77030B,腹腔鏡輸尿管取石術,Laparoscopic Ureterolithotomy,7410,111.03.01,999.12.31,手術費,,
77031B,輸尿管膀胱波氏瓣接合術,Ureterorrhapy,12877,093.07.01,999.12.31,手術費,,
77032B,輸尿管迴腸經皮分流術(單側),"Ureteroileal cutaneous driversion,unilateral",12960,109.01.01,999.12.31,手術費,,
77033B,輸尿管迴腸經皮分流術(雙側),"Ureteroileal cutaneous driversion, bilateral",17040,109.01.01,999.12.31,手術費,,
77034B,經內視鏡輸尿管切開術,Endoscopic ureterotomy,7922,093.07.01,999.12.31,手術費,含內視鏡費。,
77035B,經尿道輸尿管憩室切開術 ,Transurethral incision of ureterocele,6440,092.12.01,999.12.31,手術費,,
77036B,腹腔鏡高位輸尿管皮膚吻合術（單側),"Laparoscopy, High cutaneous ureterostomy (unilateral)",9892,109.01.01,999.12.31,手術費,,
77037B,腹腔鏡高位輸尿管皮膚吻合術（雙側）,"Laparoscopy, High cutaneous ureterostomy (bilateral)",12178,109.01.01,999.12.31,手術費,,
77038B,腹腔鏡輸尿管成形術－單側,Laparoscopic Ureteroplasty-unilateral,15627,110.11.01,999.12.31,手術費,,
77039B,腹腔鏡輸尿管膀胱重建術－單側,Laparoscopic ureteroneocystostomy -unilateral,22459,110.11.01,999.12.31,手術費,,
77040B,腹腔鏡輸尿管膀胱重建術－雙側,Laparoscopic ureteroneocystostomy -bilateral,26011,110.11.01,999.12.31,手術費,,
78001C,膀胱抽吸,"Aspiration bladder, withcatheterization",500,112.10.01,999.12.31,手術費,,
78002C,膀胱造口術 ,Cystostomy－ Open method,4956,112.10.01,999.12.31,手術費,,
78003C,膀胱造口術 ,Cystostomy－ Trocar method,3285,112.10.01,999.12.31,手術費,,
78004C,膀胱造口閉合,Closure of cystostomy,4760,112.10.01,999.12.31,手術費,,
78005B,膀胱取石術,Cystolithotomy,4523,093.07.01,999.12.31,手術費,,
78006B,單純膀胱頸切開術,Bladder neck incision,5170,084.03.01,999.12.31,手術費,,
78007B,膀胱憩室之切除（單個或多發性者）,"Cystotomy for excision of bladder diverticulum, single or multiple",6440,084.03.01,999.12.31,手術費,,
78008C,膀胱腫瘤之切除－ 內視鏡下--含膀胱鏡檢,Cystotomy for excision of bladder tumor-- TURB tumor resection,8027,112.11.01,999.12.31,手術費,"1.申報費用應檢附膀胱鏡報告。
2.一般材料費及單次使用電燒切除環，得另加計百分之七十一。。",
78009B,膀胱腫瘤之切除－ 手術,Cystotomy for excision of bladder tumor-open method,6770,112.11.01,999.12.31,手術費,,
78010C,膀胱部分切除術 ,Partial cystectomy,9670,112.10.01,999.12.31,手術費,,
78011B,膀胱全切除術,Cystectomy without pelvis LND without urethrectomy without bladder reconstruction,13799,109.01.01,999.12.31,手術費,,
78012B,膀胱全切除術合併原位新膀胱重建術,Cystectomy without pelvis LND without urethrectomy with orthotopic neo-bladder reconstruction,27464,109.01.01,999.12.31,手術費,,
78013B,膀胱全切除術合併骨盆腔淋巴切除術,Cystectomy with pelvis LND without urethrectomy without bladder reconstruction,21450,109.01.01,999.12.31,手術費,,
78014B,膀胱全切除術及骨盆腔淋巴切除術合併原位新膀胱重建術,Cystectomy with pelvis LND without urethrectomy with orthotopic neo-bladder reconstruction,34992,109.01.01,999.12.31,手術費,,
78015B,膀胱成形術或膀胱尿道成形術,Cystoplasty or cystourethroplasty,8898,109.01.01,999.12.31,手術費,,
78016B,膀胱尿道成形術併單側或雙側輸尿管膀胱吻合術,Cystourethroplasty with unilateral or bilateral uretero neo cystotomy,10800,084.03.01,999.12.31,手術費,,
78017B,膀胱頸尿道前固定術或尿道固定術,"Vesicourethropexy, anteriro or Urethropexy as Marshall-Marchetti type",5856,109.01.01,999.12.31,手術費,,
78018B,膀胱縫合術,Cystorrhaphy,5470,093.07.01,999.12.31,手術費,,
78019B,膀胱陰道廔管閉合術，由腹部開刀,"Closure fistula, vesicovaginal abdominal approach",11461,110.07.01,999.12.31,手術費,,
78020B,膀胱子宮廔管閉合術，包含子宮切除術,"Closure fistula, vesicouterine with or without hysterectomy",9408,109.01.01,999.12.31,手術費,,
78021B,膀胱腸管成形術，包含腸吻合,Enterocystoplasty including bowel anastomosis,13895,109.01.01,999.12.31,手術費,,
78022C,皮膚膀胱造口術,CUTANEOUS VESICOSTOMY,7728,112.10.01,999.12.31,手術費,,
78023C,膀胱尿道鏡伴有輸尿管切開術,Cystourethroscopy with internal ureterotomy,3398,112.11.01,999.12.31,手術費,一般材料費及單次使用電燒切除環，得另加計百分之九十五。,
78024C,膀胱尿道鏡及輸尿管取石,Cystourethroscopy with removal of ureteral calculus,3568,112.10.01,999.12.31,手術費,,
78025B,經尿道膀胱頸切開術,TUR FOR BLADDER NECK,3900,085.10.01,999.12.31,手術費,,
78026C,碎石取出術、簡單（在膀胱內壓碎並除去）,"Endoscopic cystolitholapaxy, simple crushing of calculus in bladder and remove",4675,112.10.01,999.12.31,手術費,結石<一公分。,
78027C,碎石洗出術複雜性或大結石,"Endoscopic cystalitholapaxy, complicated",5437,112.10.01,999.12.31,手術費,結石>一公分。,
78028B,腹式尿失禁手術,Transabdominal urinary incontinence surgery,7427,102.01.01,999.12.31,手術費,本項102年支付標準調整按衛生福利部1031260015號函公告。,
78029B,陰道式尿失禁手術（含Kelly plication),Transvaginal urinary incontinence surgery (Kelly plication included),9116,102.01.01,999.12.31,手術費,本項102年支付標準調整按衛生福利部1031260015號函公告。,
78030B,Burch尿失禁手術,Burch Colposuspension,18806,102.01.01,999.12.31,手術費,本項102年支付標準調整按衛生福利部1031260015號函公告。,
78031C,間質性膀胱炎膀胱尿道鏡擴張術,Cystourethroscopy with dilation of bladder for interstitial cystitis,2705,112.10.01,999.12.31,手術費,,
78032C,膀胱憩室電燒 ,Coagulation of bladder diverticulum,7760,112.10.01,999.12.31,手術費,,
78033C,部份膀胱及膀胱憩室切除術 ,Partial cystectomy with excision of bladder diverticulum,5800,112.10.01,999.12.31,手術費,,
78034B,膀胱破裂修補術,Repair of bladder rupture,9912,110.07.01,999.12.31,手術費,,
78035B,小腸膀胱增大術,Augmentation of U-B and intestine,13763,109.01.01,999.12.31,手術費,,
78036B,膀胱懸吊術,Suspension of urinary bladder,13206,102.01.01,999.12.31,手術費,本項102年支付標準調整按衛生福利部1031260015號函公告。,
78037B,KELLY手術,KELLY operation,9289,109.01.01,999.12.31,手術費,"1.已申報80007B(前側陰道縫合術)者,不得再申報此項。2.本項102年支付標準調整按衛生福利部1031260015號函公告。",
78038B,尿道人工擴約肌植入術,Artificial urinary sphincter implantation,12352,109.01.01,999.12.31,手術費,,
78039B,膀胱攝護腺根除術,Cystoprostatectomy without PLND without urethrectomy without bladder reconstruction,18456,109.01.01,999.12.31,手術費,,
78040B,膀胱全切除術合併尿道全切除術,Cystectomy without pelvis LND with urethrectomy without bladder reconstruction,18479,093.07.01,999.12.31,手術費,有（無）併攝護腺根除術之手術費用一致。,
78041B,膀胱攝護腺根除術合併原位新膀胱重建術,Cystoprostatectomy without pelvis LND without urethrectomy with orthotopic neo-bladder reconstruction,28778,109.01.01,999.12.31,手術費,,
78042B,膀胱全切除術及尿道全切除術合併禁尿膀胱重建術,Cystectomy without pelvis LND with urethrectomy with continent reservoir reconstruction,32647,109.01.01,999.12.31,手術費,有（無）併攝護腺根除術之手術費用一致。,
78043B,膀胱攝護腺根除術合併骨盆腔淋巴切除術,Cystoprostatectomy with pelvis LND without urethrectomy without bladder reconstruction,19419,093.07.01,999.12.31,手術費,,
78044B,膀胱全切除術及尿道全切除術合併骨盆腔淋巴切除術,Cystectomy with pelvis LND with urethrectomy without bladder reconstruction,27805,109.01.01,999.12.31,手術費,有（無）併攝護腺根除術之手術費用一致。,
78045B,膀胱攝護腺根除術及骨盆腔淋巴切除術合併原位新膀胱重建術,Cystoprostatectomy with pelvis LND without urethrectomy with orthotopic neo-bladder reconstruction,35531,109.01.01,999.12.31,手術費,,
78046B,膀胱全切除術及骨盆腔淋巴切除術及尿道全切除術合併禁尿膀胱重建術,Cystectomy with pelvis LND with urethrectomy with continent reservoir reconstruction,60063,106.10.01,999.12.31,手術費,有（無）併攝護腺根除術之手術費用一致。,
78047B,(後)腹腔鏡膀胱頸懸吊術,"(Retroperitoneoscopy) Laparoscopy, Bladder neck suspension",17198,109.01.01,999.12.31,手術費,本項102年支付標準調整按衛生福利部1031260015號函公告。,
78048B,(後)腹腔鏡膀胱憩室切除術(單個或多發性者),"(Retroperitoneoscopy) Laparoscopy, Bladder diverticulectomy",9274,109.01.01,999.12.31,手術費,,
78049C,膀胱腫瘤之切除－ 內視鏡下--含膀胱鏡檢及輸尿管鏡檢查,Cystotomy for excision of bladder tumor-- TURB tumor resection,8886,112.11.01,999.12.31,手術費,"1.申報費用應檢附膀胱鏡及輸尿管鏡檢查報告。
2.一般材料費及單次使用電燒切除環，得另加計百分之六十九。",
78050B,腹腔鏡膀胱全切除術合併骨盆腔淋巴切除術合併正位新膀胱重建,Laparoscopic Cystectomy with pelvis LND with orthotopic neo-bladder reconstruction,65785,110.11.01,999.12.31,手術費,,
78051B,腹腔鏡膀胱全切除術及骨盆腔淋巴切除術合併雙側輸尿管迴腸經皮分流術,Laparoscopic radical cystectomy with pelvis LND with ileal conduit,65785,110.11.01,999.12.31,手術費,,
78201C,尿道結石（異物）除去術,Removal of urethral stone or foreign body,4174,112.10.01,999.12.31,手術費,,
78202B,尿道狹窄修補手術－ 前段尿道,Repair of urethral stricture-- anterior urethral,6814,093.07.01,999.12.31,手術費,,
78203B,尿道狹窄修補手術－ 後段尿道,Repair of urethral stricture-- posterior urethral,8501,093.07.01,999.12.31,手術費,,
78204B,尿道整形術－ 包括陰莖或陰囊轉換,"Urethroplasty, formation of urethral as Dennis Brown type procedure-- including urinary diversion, penile or penoscrotal",10285,109.01.01,999.12.31,手術費,,
78205B,尿道整形術－ 重複 ,"Urethroplasty, formation of urethral as Dennis Brown type procedure--repeat procedure",13658,109.01.01,999.12.31,手術費,,
78206C,外尿道口息肉切除術 ,"Polypectomy, external urethral",2424,112.10.01,999.12.31,手術費,,
78207C,尿道造廔術,Urethrostomy,3835,112.10.01,999.12.31,手術費,,
78208B,尿道憩室手術－前（後）部尿道,"Urethral diverticulectomy, anterior (posterior) urethral",5262,093.07.01,999.12.31,手術費,,
78209C,尿道內切開術 ,Otis urethrotomy,3502,112.10.01,999.12.31,手術費,,
78210C,直視下尿道切開術,Optic uretrotomy,4062,112.10.01,999.12.31,手術費,,
78211B,尿道破裂手術 － 後段尿道,Repair of urethral rupture-- Posterior urethral,7348,093.07.01,999.12.31,手術費,,
78212B,尿道破裂手術 － 前段尿道,Repair of urethral rupture-- Anterior urethral,4334,093.07.01,999.12.31,手術費,,
78213B,尿道下裂手術 － glandular type,Operation for hypospadias－ glandular type,13416,110.07.01,999.12.31,手術費,,
78214B,尿道下裂手術 － others,Operation for hypospadias－ others,18473,110.07.01,999.12.31,手術費,,
78215B,經尿道前列腺切開術,TUI(Transurothral incision of prostate ),6137,093.07.01,999.12.31,手術費,,
78216B,尿道腫瘤切除術,Resection of urethral  tumor,4888,093.07.01,999.12.31,手術費,,
78217B,修補尿道皮?術,Repair of urethral cutanous fistula,5669,109.01.01,999.12.31,手術費,,
78218B,尿道?管修補術(後段),Urethral fistulectomy(posterior),9638,110.07.01,999.12.31,手術費,,
78219B,雙側海棉體破裂修復術,"Repair of ruptured corpus cavernosum, bilateral",7312,093.07.01,999.12.31,手術費,,
78220B,尿道?管修補術(前段),Urethral fistulectomy(anterior),6197,110.07.01,999.12.31,手術費,,
78221B,單側海棉體破裂修復術,"Repair of ruptured corpus cavernosum,unilateral",3580,092.12.01,999.12.31,手術費,,
78222B,尿道下裂重建術及陰莖痛性勃起矯正,Reconstruction of hypospadias and correction of painful erection,27617,110.07.01,999.12.31,手術費,,
78223B,尿道下裂第一次重建術,One stage reconstruction of hypospadias,27617,110.07.01,999.12.31,手術費,,
78224B,全尿道切除術 ,Total urethrectomy,8496,109.01.01,999.12.31,手術費,,
78225B,尿道周膿瘍切開引流術,I&D for peri-urethral abscess,2217,093.07.01,999.12.31,手術費,,
78401C,陰莖切片,Biopsy penis,2034,112.10.01,999.12.31,手術費,,
78402B,陰莖部份切除術 ,Partial amputation of penis,5622,109.01.01,999.12.31,手術費,,
78403B,陰莖全部切除術,Total amputation of penis,8578,109.01.01,999.12.31,手術費,,
78404B,陰莖癌陰莖全部切除術,Radical operation of penis cancer (partial penectomy),12463,109.01.01,999.12.31,手術費,,
78405B,陰莖癌陰莖部份切除合併鼠蹊淋巴切除術,Partial penectomy with inguinal LND,13327,093.07.01,999.12.31,手術費,,
78406B,陰莖重度創傷修補術 ,Penis repair for severe trauma,7393,093.07.01,999.12.31,手術費,,
78407C,陰囊水腫切除術 ,Hydrocelectomy,5425,112.10.01,999.12.31,手術費,,
78408C,陰囊異物移除,"Removal of foreign body, scrotum",3623,112.10.01,999.12.31,手術費,,
78409B,陰囊切除術,Resection of scrotum,4065,093.07.01,999.12.31,手術費,,
78410B,芮斯比式治療陰莖彎曲術 ,Nesbit procedure for curvature of penis,5540,092.12.01,999.12.31,手術費,,
78411C,陰囊修補術,Scrotal repair,3074,112.10.01,999.12.31,手術費,,
78412C,陰囊膿瘍切開引流術,I&D for scrotal abscess,2201,112.10.01,999.12.31,手術費,,
78413B,陰莖癌陰莖全部切除合併會陰部尿道造口術,"Total penectomy, with perineal cutaneous urethrostomy",12136,093.07.01,999.12.31,手術費,,
78414B,陰莖癌陰莖全部切除合併鼠蹊淋巴切除術及會陰部尿道造口術,"Total penectomy with inguinal LND, with perineal cutaneous urethrostomy",15412,093.07.01,999.12.31,手術費,,
78601C,睪丸切片 －單側切開,"Testis biopsy -- incisional,unilateral",1810,112.10.01,999.12.31,手術費,,
78602C,睪丸切片 －雙側切開 ,"Testis biopsy --incisional,bilateral",2904,112.10.01,999.12.31,手術費,,
78603C,睪丸切除術 － 單側,Orchiedectomy-- unilateral,5163,112.10.01,999.12.31,手術費,睪丸病灶切除 (testicle lesion excision) 比照申報。,
78604B,睪丸切除術 － 雙側,Orchiedectomy-- bilateral,6175,093.07.01,999.12.31,手術費,睪丸病灶切除 (testicle lesion excision) 比照申報。,
78605C,睪丸固定術 － 單側,Orchiopexy-- unilateral,7613,112.10.01,999.12.31,手術費,併或不併疝氣修補(with or without hernia repair)。,
78606C,睪丸固定術 － 雙側,Orchiopexy-- bilateral,11722,112.10.01,999.12.31,手術費,併或不併疝氣修補(with or without hernia repair)。,
78607C,隱睪單側睪丸固定術,"Orchiopexy for undescended testis, unilateral",13522,112.10.01,999.12.31,手術費,隱睪切除術比照申報。,
78608C,睪丸受傷之縫合或修補,Suture or repair testicular injury,4581,112.10.01,999.12.31,手術費,,
78609B,睪丸惡性腫瘤高位切除術,Orchidectomy for malignant tumor,5064,093.07.01,999.12.31,手術費,,
78610B,睪丸惡性腫瘤高位切除術併後腹腔淋巴切除術,Orchidectomy for malignant tumor including lymphadenectomy,14576,109.01.01,999.12.31,手術費,,
78611C,腹腔鏡睪丸切除術 ,Laparoscopic orchiectomy,4040,112.10.01,999.12.31,手術費,,
78612C,隱睪雙側睪丸固定術,"Orchiopexy for undescended testis,bilateral",14178,112.10.01,999.12.31,手術費,,
78801C,副睪丸切除術 － 單側,Epididymectomy--unilateral,5903,112.10.01,999.12.31,手術費,,
78802B,副睪丸切除術 － 雙側 ,Epididymectomy--bilateral,8230,109.01.01,999.12.31,手術費,,
78803B,輸精管副睪丸吻合術－ 單側,Epididymo-vasostomy-- unilateral,8568,109.01.01,999.12.31,手術費,,
78804B,輸精管副睪丸吻合術－ 雙側 ,Epididymo-vasostomy--bilateral,10802,109.01.01,999.12.31,手術費,,
78805C,副睪丸膿瘍切開引流,I & D for epididymal abscess drainage,3021,112.10.01,999.12.31,手術費,,
79001C,輸精管切開單側或雙側,"Vasotomy, unilateral or bilateral",2693,112.10.01,999.12.31,手術費,輸精管切除比照申報。,
79002B,精囊全摘除術,"Vesiculectomy, seminal vesicle",8431,109.01.01,999.12.31,手術費,,
79201C,精索切除,"Excision lesion, spermatic cord",3243,112.10.01,999.12.31,手術費,,
79202B,精索靜脈瘤手術,Varico-celectomy,4819,093.07.01,999.12.31,手術費,,
79203C,精索靜脈高位結紮術,High ligation or internal spermatic vein for varicocele,5522,112.10.01,999.12.31,手術費,,
79204C,腹腔鏡精索靜脈曲張結紮 ,Laparoscopic high ligation of internal spormatic vein,3250,112.10.01,999.12.31,手術費,,
79401C,前列腺切片－控取式,Biopsy prostate (punch),1841,112.10.01,999.12.31,手術費,,
79402C,前列腺切片－切開式,Biopsy prostate (incisional),3504,112.10.01,999.12.31,手術費,,
79403B,攝護腺癌根除性攝護腺切除術 ,Radical prostatectomy without pelvic lymph node dissection,26050,106.10.01,999.12.31,手術費,含精囊摘除術 (including vesiculectomy)。,
79404B,被膜下前列腺切除術,Suprapubic prostatectomy,9114,093.07.01,999.12.31,手術費,前列腺結石切除術比照申報。,
79405B,恥骨下前列腺切除術 ,Retropublic prostatectomy,11011,109.01.01,999.12.31,手術費,,
79406B,經尿道攝護腺切除術--切除之攝護腺重量五至十五公克,"TUR of prostate gland,TURP  5 - 15 gms",11055,113.03.01,999.12.31,手術費,"1.含supra-pubic irrigation, sounding, urethrotomy。
2.一般材料費及單次使用電燒切除環、切割電極，得另加計百分之七十九。",
79407C,經尿道切片術,Transurethral biopsies,4242,112.10.01,999.12.31,手術費,,
79408C,前列腺膿瘍切開引流,Abscess drainage prostatic,3829,112.10.01,999.12.31,手術費,,
79409C,經腹腔前列腺囊腫切除術,Laparoscopic prostate cyst resection,3156,112.10.01,999.12.31,手術費,,
79410B,攝護腺癌根除性攝護腺切除術併雙側骨盆腔淋巴切除術,Radical prostatectomy with bilateral pelvic lymph node dissection,31171,110.11.01,999.12.31,手術費,,
